Tiempo[ms],RED,IR,GREEN,Clase
124,1321.0,2511.0,302.0,Clase 1
244,1323.0,2528.0,301.0,Clase 1
363,1326.0,2166.0,201.0,Clase 1
483,695.0,714.0,84.0,Clase 1
603,308.0,230.0,46.0,Clase 1
722,218.0,156.0,47.0,Clase 1
841,218.0,157.0,48.0,Clase 1
961,256.0,158.0,46.0,Clase 1
1081,221.0,157.0,46.0,Clase 1
1201,271.0,182.0,47.0,Clase 1
1319,341.0,239.0,56.0,Clase 1
1439,635.0,529.0,114.0,Clase 1
1559,1144.0,816.0,120.0,Clase 1
1678,1096.0,666.0,97.0,Clase 1
1798,996.0,921.0,130.0,Clase 1
1918,1508.0,2071.0,259.0,Clase 1
2036,2309.0,2524.0,266.0,Clase 1
2156,1881.0,1670.0,153.0,Clase 1
2277,1029.0,1047.0,97.0,Clase 1
2395,609.0,533.0,91.0,Clase 1
2515,672.0,593.0,92.0,Clase 1
2635,645.0,508.0,91.0,Clase 1
2755,690.0,607.0,109.0,Clase 1
2874,751.0,499.0,82.0,Clase 1
2994,613.0,619.0,83.0,Clase 1
3113,435.0,491.0,67.0,Clase 1
3231,222.0,208.0,45.0,Clase 1
3352,218.0,155.0,48.0,Clase 1
3472,214.0,155.0,48.0,Clase 1
3592,215.0,150.0,43.0,Clase 1
3710,218.0,156.0,47.0,Clase 3
3830,212.0,153.0,48.0,Clase 3
3950,214.0,150.0,43.0,Clase 3
4069,221.0,158.0,46.0,Clase 3
4189,212.0,152.0,45.0,Clase 3
4308,215.0,154.0,42.0,Clase 3
4428,214.0,157.0,47.0,Clase 3
4547,211.0,152.0,44.0,Clase 3
4667,218.0,154.0,45.0,Clase 3
4787,219.0,158.0,49.0,Clase 3
4908,215.0,151.0,44.0,Clase 3
5025,217.0,154.0,48.0,Clase 3
5145,218.0,153.0,50.0,Clase 3
5265,217.0,150.0,41.0,Clase 3
5384,216.0,158.0,46.0,Clase 3
5504,213.0,151.0,46.0,Clase 3
5623,217.0,151.0,44.0,Clase 3
5744,222.0,156.0,48.0,Clase 3
5862,210.0,150.0,48.0,Clase 3
124,4980.0,8241.0,782.0,Clase 3
244,5973.0,8773.0,793.0,Clase 3
363,5802.0,8726.0,815.0,Clase 3
483,6230.0,9314.0,867.0,Clase 3
603,6856.0,10801.0,1023.0,Clase 3
